,cut1,w1
Br;C+,4.5607977,0.48831442
Br;C1,3.5804336,5.364607
Br;C2,4.194424,-1.4998387
Br;C3,4.2092323,0.009365848
Br;Cac,4.0677843,-3.5920868
Br;Car,5.2414036,-0.1719048
Br;HO,4.2720537,2.4017031
Br;N2,3.760948,0.93157333
Br;N3+,4.34,-0.73847336
Br;Nam,3.9064093,1.0957973
Br;Nar,4.534133,-2.1519313
Br;Ng+,4.1155915,0.8972282
Br;O.co2,4.4282703,1.5392885
Br;O2,3.6296597,0.5865185
Br;O3,3.929061,-2.2205634
Br;S3,3.9511926,-0.57339674
C+;C+,3.748607,-0.46983537
C+;C-,4.189581,-0.26497263
C+;C1,4.99864,0.7962298
C+;C2,4.1734347,-0.3645449
C+;C3,4.481125,-0.1445169
C+;Ca,4.541442,-3.2995493
C+;Cac,3.6986408,-1.4352384
C+;Car,4.4682984,0.12477907
C+;Cl,3.7441843,2.9960005
C+;F,3.8379824,0.31009585
C+;HO,4.23569,0.2698604
C+;I,4.729749,0.6743675
C+;Mn,3.8081796,-1.3557085
C+;N1,4.3819795,0.84612656
C+;N2,3.9912186,-0.26625332
C+;N3,4.1211824,0.55179054
C+;N3+,4.481241,2.1035686
C+;Na,4.882852,-1.3531988
C+;Nam,4.4330273,0.3867965
C+;Nar,3.9723032,-0.4076349
C+;Ng+,4.165968,-0.32811916
C+;Npl,4.5107465,-1.2662779
C+;Ntr,4.742921,-2.440641
C+;O.co2,3.6448553,-0.13363509
C+;O2,4.067392,-0.1152234
C+;O3,3.983665,-0.51958615
C+;P,4.2648826,-1.8480272
C+;Pac,4.2053103,1.254618
C+;S2,4.020654,4.0720487
C+;S3,4.138098,1.0203855
C+;Sac,4.5575805,1.3986577
C+;So2,4.138082,1.0685135
C-;C1,4.149071,-1.1948874
C-;C2,4.309702,0.35014272
C-;C3,4.3899612,0.19883925
C-;Ca,3.068543,0.024265291
C-;Cac,4.210587,-1.3726816
C-;Car,3.7376258,0.11994951
C-;Cd,3.38,0.9481048
C-;Co,2.927066,1.5190599
C-;Cu,3.88,0.060209867
C-;Fe,3.698088,0.42391273
C-;HO,2.9582949,0.32618025
C-;Mg,3.7418451,2.0629637
C-;Mn,3.745,1.0927888
C-;N2,4.044567,-0.17752928
C-;N3,3.5747318,1.3201985
C-;N3+,4.6223397,-0.46774384
C-;Na,4.065,-0.10883969
C-;Nam,4.1178303,-0.2543223
C-;Nar,4.445027,0.76032287
C-;Ng+,4.1035995,0.08237239
C-;Ni,2.8434782,-3.3664544
C-;Npl,5.098199,-0.29661655
C-;O.co2,3.703317,1.5151285
C-;O2,4.268183,-0.50649935
C-;O3,4.0086565,-0.42946848
C-;S3,3.6313422,1.0033056
C-;Zn,3.6110668,1.125965
C1;C1,5.0102854,-3.0811367
C1;C2,4.1255126,0.15729323
C1;C3,4.158102,-0.16479611
C1;Cac,4.971709,-0.98455197
C1;Car,3.8631568,0.056045122
C1;Cl,4.3100767,1.9642714
C1;F,3.6907263,-1.5963283
C1;HO,3.3997676,-0.7492935
C1;Mn,3.5899525,-1.356088
C1;N1,4.5839996,4.192
C1;N2,4.0473576,-0.51807106
C1;N3,4.114126,2.8031137
C1;N3+,3.823744,1.0164891
C1;Nam,3.6318042,-0.0430972
C1;Nar,3.8191612,0.33103657
C1;Ng+,4.5273747,-0.081902675
C1;Nox,5.1892467,2.104095
C1;Npl,4.1090813,1.2395267
C1;Ntr,4.271144,-3.8642325
C1;O.co2,3.778067,-0.40442935
C1;O2,4.2694807,0.20429078
C1;O3,3.6740627,0.5900892
C1;P,5.0023375,-0.7249763
C1;Pac,4.4531403,0.63403875
C1;S2,4.1754456,-1.6010592
C1;S3,4.2358704,1.2088491
C1;Sac,3.863021,-0.15853125
C1;So2,4.3929343,-1.171245
C2;C2,4.0708694,0.012048798
C2;C3,5.2284203,-0.009115533
C2;Ca,4.5493565,-1.0314411
C2;Cac,3.8778448,-0.5432826
C2;Car,4.0188003,0.0589864
C2;Cl,3.7214549,-0.21894804
C2;Co,3.287328,-0.49272335
C2;Cu,3.617816,0.9484604
C2;F,3.7151248,-0.5244629
C2;Fe,3.6329122,1.1304728
C2;HO,3.080626,-0.2351471
C2;I,4.1977925,-1.1018249
C2;Mg,3.265693,-3.5515187
C2;Mn,3.4785333,-2.4862447
C2;N1,3.9983213,0.36021993
C2;N2,3.9825249,-0.3921725
C2;N3,4.33321,0.88937074
C2;N3+,3.4859674,1.0717926
C2;Na,5.063224,-1.2407215
C2;Nam,3.2182088,1.4055746
C2;Nar,3.9974303,0.1331783
C2;Ng+,3.5040514,-0.6959932
C2;Ni,2.8743277,1.8539664
C2;Nox,3.7402253,0.5099612
C2;Npl,4.315313,0.34362268
C2;Ntr,4.718441,0.542296
C2;O-,4.278245,-0.20437877
C2;O.co2,3.4273393,0.5931499
C2;O2,3.7209802,0.09717121
C2;O3,3.7503438,0.024086477
C2;P,4.547492,-0.5861217
C2;Pac,4.142813,0.9692279
C2;S2,3.8704808,-0.6155499
C2;S3,3.6416438,0.809328
C2;Sac,4.773447,-0.64928937
C2;So2,4.5042377,-0.13521102
C2;Sox,4.568226,0.14630777
C2;Zn,4.0545917,-0.71767145
C3;C3,4.67352,0.004961721
C3;Ca,3.976403,0.3386185
C3;Cac,3.6429107,0.23461135
C3;Car,5.000354,0.007882723
C3;Cd,4.358352,0.9667257
C3;Cl,3.7128377,0.24090028
C3;Co,4.1409106,-0.31288365
C3;Cu,3.7497292,-1.858511
C3;F,3.7719343,0.044185486
C3;Fe,4.0032573,-0.9712216
C3;HO,3.3710117,0.15828355
C3;Hg,5.171016,2.5686352
C3;I,4.273229,0.34512097
C3;Mg,3.5247285,-1.7314079
C3;Mn,3.7942715,-0.3672069
C3;N1,3.6043103,0.6743917
C3;N2,3.3166533,0.21316867
C3;N3,3.8976288,-0.03730879
C3;N3+,3.3913143,0.4775388
C3;Na,4.3520665,1.1476221
C3;Nam,3.7432609,0.14992781
C3;Nar,3.8828008,-0.046959862
C3;Ng+,3.7642481,0.2651882
C3;Ni,3.815,-0.96878755
C3;Nox,3.8994975,-0.60768825
C3;Npl,4.1213856,-0.012947157
C3;Ntr,4.098542,0.30122337
C3;O-,4.15387,-0.23028304
C3;O.co2,2.8443904,-0.055329975
C3;O2,3.7253811,0.005095543
C3;O3,3.8808181,-0.0022205678
C3;P,4.161025,0.14658155
C3;Pac,3.7132144,-0.768493
C3;S2,3.9852152,-0.099302456
C3;S3,4.4181128,-0.1402199
C3;Sac,4.181756,-0.59017277
C3;So2,4.834555,-0.13690232
C3;Sox,4.2844057,-0.98093694
C3;Zn,3.5252404,-0.7752893
Ca;Car,4.5185165,2.1635997
Ca;HO,3.8181157,-1.1226503
Ca;N2,4.372894,-3.8828342
Ca;N3,4.25,-5.673733
Ca;N3+,3.7442558,1.8323271
Ca;Nam,4.6948957,4.1239157
Ca;Nar,4.5332875,-4.540791
Ca;O2,3.2806518,0.26017612
Ca;O3,3.655,-0.030817961
Ca;P,3.823209,3.9322312
Ca;Pac,4.025599,-2.1089146
