,cut1,cut2,cut3,cut4,cut5,w1,w2,w3,w4,w5
Cac;N2,3.0149136,3.5303965,3.7264123,4.382276,4.5829744,-1.0348375,-0.4298841,-0.5455252,-0.8289649,0.15191779
Cac;N3,3.5256689,4.0267606,4.262586,4.3965516,4.757986,-4.0115356,-0.76569396,-0.14211947,-1.2113712,1.0021867
Cac;N3+,3.204489,3.9200134,4.0557985,4.4631333,4.8770914,-0.19346891,-0.46007714,-0.93343055,-0.38661948,-0.16437463
Cac;Nam,3.6064758,3.8439064,4.046664,4.1952395,4.559558,0.095895536,0.37315324,0.008072013,-0.67935693,-0.23306493
Cac;Nar,3.2946913,3.5794582,3.8220356,4.3146067,4.5156245,0.26816696,-0.11440402,-0.41775888,0.17177337,0.32033768
Cac;Ng+,4.583129,4.5426292,4.497002,4.5305915,4.4969783,-0.31214786,0.08355625,-0.028514331,0.058873992,-0.041798536
Cac;Nox,3.2030337,3.390465,3.5166779,3.3931034,3.5048103,-0.57915056,-0.6773604,-0.51461625,-0.3210697,-0.031418096
Cac;Npl,3.4466884,3.6324468,3.849751,4.56881,4.5134563,0.41038916,-0.47309223,-0.020471483,-0.7216285,-0.5184923
Cac;Ntr,4.0149755,4.365516,4.423238,4.788241,4.6105127,0.498535,1.3147994,-0.13876341,-0.8656743,-0.040587522
Cac;O2,3.0707827,3.4541676,3.811635,4.0873156,4.535858,-0.81429595,-0.11459697,-0.32626057,-0.09217472,0.31436333
Cac;O3,3.1010187,3.4009433,3.803269,4.21377,4.681935,-1.231881,-0.83129364,-0.66820073,-0.4832102,-0.16139632
Cac;P,4.0134506,4.228222,4.446868,4.7492156,4.854683,1.8553411,-0.42236823,-0.023075493,0.033123467,0.4569438
Cac;Pac,3.9351254,4.1916556,4.3309755,4.446315,4.6729236,1.4042695,0.3289318,0.6627407,1.2359798,0.54877824
Cac;S2,3.4845676,3.8477104,3.8898737,4.3612485,4.5038505,-2.7848437,1.3880085,0.99367905,2.345903,0.6693223
Cac;S3,3.4280229,3.7985444,3.9464097,4.3376055,4.613102,-2.4871745,1.0991219,0.2896717,0.20358464,1.1760153
Cac;Sac,4.1881614,4.30818,4.3421717,4.3441296,4.750698,1.3316413,1.1024387,-0.08486056,-0.16664763,-0.5917085
Cac;So2,3.9412606,4.1106677,4.3897734,4.64139,5.122805,0.77105826,0.093790114,-0.74350035,-0.27218407,-1.7622453
Cac;Sox,4.636613,4.6582913,4.6567245,4.684079,4.6595955,-0.4199165,0.0413306,0.0045749634,-0.013091458,0.038679205
Car;Car,3.0035605,3.3436894,3.636483,4.1465425,4.56439,-0.17062485,-0.063544035,0.008268007,0.0065057776,-0.042379905
Car;Cd,4.0764413,4.1438766,4.2927036,4.314733,4.30558,0.8047808,0.4363389,0.5351646,0.0009981947,0.03571865
Car;Cl,3.2055974,3.653251,3.710019,4.3304367,4.678686,-1.5393472,-0.055892807,0.22552216,0.06918012,-0.22125214
Car;Co,3.2155974,3.4223688,3.8056307,3.9366667,4.3107567,0.30726665,0.30160806,0.13869688,0.2952703,0.10468895
Car;Cu,3.1885016,3.2940204,3.831183,4.1239448,4.4336805,-0.09783097,-0.19724238,-0.46093455,0.023349874,-0.20247096
Car;F,3.2423902,3.3556793,4.10565,4.3031664,4.739209,0.092219144,-0.4086789,-0.03275693,-0.2789451,0.16891557
Car;Fe,3.24074,3.2366157,4.0031075,4.1499796,4.496842,0.40248746,0.7264576,1.2562203,-0.33090135,-0.9332874
Car;HO,2.489765,2.7764056,3.5463417,4.153314,4.310381,0.3624726,0.10094572,-0.19252321,0.05915648,-0.053776912
Car;I,3.425,3.8434355,4.029599,4.2278223,4.6054206,2.0396526,0.6836,0.287486,-0.10626594,0.021010369
Car;K,3.9589987,3.683705,4.115,4.3624177,4.592967,-0.17125234,0.084781006,-0.21498033,-0.2234024,-0.16408354
Car;Mg,2.9783397,3.519818,3.7901714,4.2515707,4.506981,0.26077846,0.86074203,0.15788446,0.5826171,0.89834064
Car;Mn,3.0796983,3.55,3.979657,4.106106,4.725796,-0.4737146,0.07300834,-0.6839618,-0.6511005,0.3518384
Car;N1,3.3764791,3.6366944,4.080862,4.210378,5.1753497,0.3371081,-0.067678645,-0.71974826,-0.40168384,-0.24144745
