,cut1,cut2,cut3,w1,w2,w3
Br;C+,3.6050067,3.9819732,4.184077,-1.2387911,0.085975386,3.0312793
Br;C1,3.575572,4.1234775,4.4775,1.1305013,-0.5938911,0.92815423
Br;C2,3.6587808,4.262834,4.538721,-0.50498533,-0.37278405,1.9460229
Br;C3,2.9495184,3.8559618,4.227627,-2.0762277,0.11736178,-0.10643466
Br;Cac,3.8423657,4.212789,4.5225,-2.7080703,0.30400187,1.7330304
Br;Car,3.7947776,4.2063417,4.8809595,0.0075086374,-0.62720144,-0.323616
Br;HO,3.27016,4.1110325,4.4729953,-0.6005848,2.278634,1.0189863
Br;N2,3.7238977,4.312501,4.4412646,0.87502694,-0.39894062,-1.2832344
Br;N3+,4.1609564,4.34,4.6577954,-0.6572898,-0.47858652,1.5563365
Br;Nam,3.7216609,4.3187203,4.518477,0.40805772,0.46463418,0.61999536
Br;Nar,4.2599998,4.6148753,4.6134105,-0.563817,-1.6699752,-0.9875952
Br;Ng+,3.5081728,3.9459555,4.195652,-2.9061375,1.009794,2.391123
Br;O.co2,3.6413236,4.008281,4.562476,-0.6702909,-0.23199552,2.279134
Br;O2,3.2926965,3.9318404,4.575779,-1.8456748,-0.9298316,-0.3910723
Br;O3,3.7944593,4.1589084,4.6194124,-2.7404022,-0.06691789,0.5172929
Br;S3,3.37408,4.0365314,4.2805934,-2.4932077,0.6567069,1.4555286
C+;C+,3.7742412,4.329087,4.3283944,-2.1301167,1.5829626,0.061503105
C+;C-,3.6471007,4.2094326,4.549075,0.7627208,-0.91203344,-0.39573455
C+;C1,3.8693836,4.0720253,4.5109096,-1.0426295,2.5063622,1.0538622
C+;C2,3.5322404,4.0214314,4.4635177,-0.9306429,-0.22202724,0.15453394
C+;C3,3.5276096,3.9902263,4.4769526,0.5402767,0.16848494,-0.06772702
C+;Ca,4.9452367,4.9504986,4.965332,-2.1010618,-2.6153421,-2.7445369
C+;Cac,3.668819,4.0963774,4.73984,-1.3441728,0.19647366,0.21619041
C+;Car,3.585625,4.1719985,4.4466195,0.16635826,-0.19173905,0.25887406
C+;Cl,3.3843138,4.150368,4.3353276,0.68666613,1.3706099,-0.7171459
C+;F,3.2560854,3.971682,4.7238226,1.5420979,-0.350826,-0.19281852
C+;HO,3.1124947,3.4751003,4.8074584,-0.3260011,0.2378631,-0.20979215
C+;I,4.7905912,4.7406735,4.784537,0.2708126,0.4298328,0.26252344
C+;Mn,3.3745224,3.7203798,3.9223437,0.11332336,0.09233597,0.039829295
C+;N1,3.8407192,4.346053,4.8375306,0.43131793,0.13221127,-1.1916274
C+;N2,3.5936494,3.821919,4.7303066,1.7808212,-0.7322541,-0.16107932
C+;N3,3.969082,4.014992,4.704018,-1.85563,-0.27578458,-1.5270064
C+;N3+,3.6119287,3.9078407,4.669561,4.5049877,0.7102942,1.598242
C+;Na,4.8288217,4.6182146,4.525853,-0.7787902,0.019290201,-0.28108934
C+;Nam,3.6742697,4.1257896,5.002466,1.0674335,-0.5447314,-0.20348717
C+;Nar,3.5833015,4.2011456,4.509307,0.066746645,0.4311945,0.1135317
C+;Ng+,3.7396145,4.4488616,4.571569,-1.7384815,-0.558066,0.065998256
C+;Npl,3.5746307,4.108547,4.474742,-0.9325298,0.3272166,-0.79363745
C+;Ntr,4.1953716,4.4734616,4.8041286,3.1135216,-0.20586903,-1.118182
C+;O.co2,3.2665899,3.9083836,4.191982,0.50204104,-0.3812874,0.30138016
C+;O2,3.1336277,3.816735,4.251155,-0.5290861,-0.07737158,0.13749334
C+;O3,3.4040258,4.005564,4.090353,0.4944141,-0.22308446,0.3771036
C+;P,4.3359513,4.437597,4.70993,-1.0759777,0.04996058,1.0865374
C+;Pac,3.5254123,4.153882,4.8197317,1.2557521,1.0927389,0.033882003
C+;S2,4.008971,4.0319853,4.2165046,2.4541757,0.19270563,-1.0551138
C+;S3,3.743542,4.2384224,4.6096454,1.4238302,0.8228303,0.28185332
C+;Sac,4.5222306,4.660924,4.8496847,0.99429744,-0.13228577,-0.6875889
C+;So2,4.2175045,4.5140257,4.6312118,1.8299985,0.25874397,0.4806357
C-;C1,3.4754472,4.2026258,4.4681454,-0.1514551,-0.7437611,0.73738766
C-;C2,3.7143366,4.052535,4.333932,0.049910907,0.25650197,0.3637382
C-;C3,3.406476,4.405574,4.798765,0.9256293,0.17599313,0.08495909
C-;Ca,3.6753612,3.6422153,4.072223,0.27545437,0.45542207,-1.9227786
C-;Cac,3.4264977,3.9111938,4.6204405,0.02621666,-1.6253211,-0.55848813
