,cut1,cut2,cut3,cut4,cut5,cut6,cut7,w1,w2,w3,w4,w5,w6,w7
HO;Nox,3.476497,3.5016077,3.9629326,4.2663565,4.6097283,4.507248,4.765077,1.8999753,-0.50140846,-0.7056205,-0.12914544,-0.22127083,0.067664444,-0.0869083
HO;Npl,2.290543,2.5860243,3.1525407,3.1515803,3.8070936,3.9685893,4.7097597,0.046967987,-0.8253827,-0.2579592,-0.10203343,-0.040748134,0.3809342,0.14216332
HO;Ntr,2.6540778,2.716115,3.066276,3.2555156,3.8249612,4.005209,4.4837527,-0.027317561,-0.1461323,1.8699535,-0.680525,-1.4273796,-0.24952854,-0.04349039
HO;O-,3.539742,3.92,4.075,4.23,4.385,4.590004,4.777011,-0.009119309,-0.09992648,0.0,0.0,0.0,-0.2787905,-1.0319391
HO;O.co2,1.577405,2.2711527,2.6306512,3.3058043,3.4174695,4.342542,4.7312436,0.43558416,0.55683035,0.34288195,-0.032879714,-0.20068273,-0.1260873,0.20354299
HO;O2,1.5172738,1.934218,2.426959,3.025253,3.4865968,3.9822598,4.1987224,-0.3380787,0.0958378,0.3476199,0.08830857,0.23073204,0.08856532,-0.022353634
HO;O3,1.3964512,2.2032592,2.5980957,3.0903153,3.4302504,3.7030442,4.3735714,-0.058922883,-0.45966676,-0.14359418,0.16623865,-0.11935297,0.124394484,-0.063444175
HO;P,2.8224392,3.3875113,3.5208402,3.8535662,3.9528143,4.465663,4.776271,0.7211576,0.38795602,0.1133066,-0.5309162,0.33738738,-0.78151315,0.059220217
HO;Pac,2.3522446,2.8293715,3.094245,3.603716,3.9719229,4.3105717,4.6772566,-1.2561748,-0.60609114,-0.46709993,0.17881233,1.3742124,-0.0034897956,-0.8988787
HO;S2,2.5525813,2.9259768,3.1748166,3.7189405,4.079009,4.4007583,4.4876213,0.73498,0.3724311,0.78662455,-0.4965878,0.32991347,-0.19387798,-0.890093
